hotel_id,name,address,price,Rating,hotell_id,latitude,longtitude
1,A.C.C Design Hotel,"226-11, Geumnam-ro, Dong-gu, Gwangju 61482 South Korea",$222,4,h_1,35.159544,126.921612
2,Dasomchae,"27, Naesang-ro 51beon-gil, Gwangsan-gu, Gwangju 62431 South Korea",$97,4.5,h_2,35.139934,126.791239
4,Empire Tourist Hotel,"25, Imbangul-daero 800beon-gil, Gwangsan-gu, Gwangju 62277 South Korea",$242,3,h_4,35.190641,126.818301
5,CS Hotel,"128, Sangmupyeonghwa-ro, Seo-gu, Gwangju 61964 South Korea",$373,3.5,h_5,35.143942,126.877668
6,Madrid Business Hotel,"11, Gwangsan-ro 19beon-gil, Gwangsan-gu, Gwangju 62430 South Korea",$301,4,h_6,35.137109,126.791959
7,UTOP Boutique Hotel & Residence,"53, Sicheng-ro, Seo-gu, Gwangju 61949 South Korea",$245,4,h_7,35.146825,126.879512
8,"Holiday Inn Gwangju, Korea, an IHG Hotel","55, Sangmunuri-ro, Seo-gu Seo-Gu, Gwangju 61955 South Korea",$409,4,h_8,35.145163,126.876972
9,Hotel The May,"51, Sangmubeonyeong-ro, Seo-gu, Gwangju 61948 South Korea",$59,4.5,h_9,35.142859,126.878426
10,FNT Hotel,"31 Sangmuyeonha-ro, Seo-gu, Gwangju 61963 South Korea",$261,4.5,h_10,35.144986,126.877234
11,Dubai Hotel,"47, Sangmubeonyeong-ro, Seo-gu, Gwangju 61948 South Korea",$327,4.5,h_11,35.142859,126.878426
12,Ramada Plaza Gwangju,"149, Sangmujayu-ro, Seo-gu, Gwangju 61949 South Korea",$292,4,h_12,35.147939,126.875385
13,Boutique Hotel Wine,"140 Sangmupyeonghwa-ro, Seo-gu, Gwangju 61964 South Korea",$342,4,h_13,35.144275,126.877995
14,Tourist Hotel Masters,"46, Sangmuyeonha-ro, Seo-gu, Gwangju 61949 South Korea",$137,3,h_14,35.144898,126.877334
15,Biennale Motel,"104, Daeja-ro, Buk-gu, Gwangju 61262 South Korea",$120,3.5,h_15,35.176763,126.923598
16,Noble Stay Hotel,"19-7, Imbangul-daero 826beon-gil, Gwangsan-gu, Gwangju 62279 South Korea",$138,3,h_16,35.190907,126.819184
17,Hotel The Spot,"32, Amkor-ro, Buk-gu, Gwangju 61009 South Korea",$446,4.5,h_17,35.176763,126.923598
18,Hotel B,"6, Sicheong-ro 60beon-gil, Seo-gu, Gwangju 61948 South Korea",$364,4.5,h_18,35.146002,126.878339
19,Gwangju Palace Tourist Hotel,"13, Jungang-ro 160beon-gil, Dong-gu, Gwangju 61483 South Korea",$243,3,h_19,35.160835,126.925095
20,MVP Business Hotel,"14-5, Mujin-daero 212beon-gil, Gwangsan-gu, Gwangju 62363 South Korea",$89,5,h_20,35.190238,126.824139
21,New Gwangju Guesthouse,"9, Seoam-daero 289beon-gil, Buk-gu, Gwangju South Korea",$137,3.5,h_21,35.18024,126.921019
22,Business Hotel Venture,"5-6, Sangmujungang-ro 38beon-gil, Seo-gu, Gwangju 61963 South Korea",$224,3.5,h_22,35.15048,126.874168
23,Green Guest House,"15, Gyeongyang-ro 63beon-gil, Buk-gu, Gwangju 61249 South Korea",$138,5,h_23,35.180953,126.914572
24,Byulbam Guesthouse,"8-6, Gyeongyang-ro 147beon-gil, Buk-gu, Gwangju 61237 South Korea",$387,5,h_24,35.18259,126.918579
25,Top Cloud Hotel,"57-1, Imbangul-daero 825beon-gil, Gwangsan-gu, Gwangju 62275 South Korea",$215,5,h_25,35.192407,126.820052
26,Nox Hotel,"22, Sangmujungang-ro 78beon-gil, Seo-gu, Gwangju 61949 South Korea",$75,4,h_26,35.154618,126.879327
27,Ballantine Business Hotel,"11, Jukbong-daero 78beon-gil, Seo-gu, Gwangju 61932 South Korea",$383,4,h_27,35.160218,126.877339
28,S Hotel,"Saraselmotel 103 Sangmupyeonghwa-ro, Gwangju 61963 South Korea",$122,4,h_28,35.14394,126.878745
29,Elysee Hotel,"60-41, Imbangul-daero 826beon-gil, Gwangsan-gu, Gwangju 62277 South Korea",$315,4,h_29,35.194024,126.819793
30,Business Hotel France,"21-6, Sicheong-ro 20beon-gil, Seo-gu, Gwangju 61964 South Korea",$454,3.5,h_30,35.14304,126.877393
31,Duzon Hotel,"60-37, Imbangul-daero 826beon-gil, Gwangsan-gu, Gwangju 62277 South Korea",$165,3.5,h_31,35.194024,126.819793
32,Pedro's House,"42, World cup 4gang-ro 181beon-gil, Seo-gu, Gwangju 61968 South Korea",$293,4.5,h_32,35.13947,126.876543
33,Oxbloodk,"24-1, Naebang-ro 398beon-gil, Seo-gu, Gwangju 61934 South Korea",$247,5,h_33,35.136042,126.881934
34,Geumsoojang Tourist Hotel,"2, Mudeung-ro 321beon-gil, Dong-gu, Gwangju 61401 South Korea",$385,4,h_34,35.15741,126.930562
35,Misori Guesthouse,"14-1, Dongmyeong-ro 67beon-gil, Dong-gu, Gwangju 61432 South Korea",$481,5,h_35,35.15978,126.933206
36,Prado Hotel,"19, Dongnip-ro, Nam-gu, Gwangju South Korea",$498,3.5,h_36,35.149038,126.910746
37,Praha Guesthoustel,"15, Hanam-daero 832beon-gil, Buk-gu, Gwangju South Korea",$388,4.5,h_37,35.184513,126.918945
38,Hotel Stay 53,"6, Sangmuyeonha-ro, Seo-gu, Gwangju 61963 South Korea",$149,4.5,h_38,35.144986,126.877234
39,Gukje Business Hotel,"8, Bongseon-ro, Nam-gu, Gwangju 61697 South Korea",$227,4,h_39,35.126448,126.910015
40,Panda Guesthouse,"102, Jebong-ro, Dong-gu 3f, Gwangju 61465 South Korea",$293,4.5,h_40,35.149614,126.923715
41,Bentley Hotel,"5, Seoseok-ro 10beon-gil, Dong-gu, Gwangju 61488 South Korea",$335,3.5,h_41,35.152,126.923
42,Gwangju Backpackers,"181-3, Pilmun-daero, Dong-gu, Gwangju 61437 South Korea",$197,4,h_42,35.149,126.925
43,Zaza House,"4, Jukbong-daero 97beon-gil, Seo-gu, Gwangju 61915 South Korea",$197,3.5,h_43,35.16,126.88
44,Namdo Hostel,"21, World cup 4gang-ro 182beon-gil, Gwangju 61976 South Korea",$448,5,h_44,35.175,126.856
45,Oasita Hostel,"20, Dongmyeong-ro 20beon-gil, Dong-gu, Gwangju 61434 South Korea",$473,3.5,h_45,35.152,126.926
46,Athene Hotel,"Atene 156 Sangmupyeonghwa-ro, Gwangju 61964 South Korea",$338,4,h_46,35.146,126.876
47,Manhattan Hotel,"73, Sangmuyeonha-ro, Seo-gu, Gwangju 61949 South Korea",$499,3.5,h_47,35.145,126.876
48,Sangmu Motel,"46, Ssangchon-ro 65beon-gil, Seo-gu, Gwangju 61990 South Korea",$315,3.5,h_48,35.137,126.888
49,Windmill Motel,"150-8, Jungang-ro, Dong-gu, Gwangju 61484 South Korea",$235,3,h_49,35.153,126.918
50,Hotel Mudeung Park,"Jisan Dong 63 1 San, Gwangju 61447 South Korea",$177,2.5,h_50,35.152,126.926
51,Gwangju Sejong Hotel,"30, Gyeongyang-ro 165beon-gil, Buk-gu, Gwangju 61237 South Korea",$82,2.5,h_51,35.176,126.917
52,Havana Hotel,"20, Sangmujungang-ro 78beon-gil, Seo-gu, Gwangju 61949 South Korea",$81,2.5,h_52,35.146,126.877
53,Chocolate Hotel,"837, Sangmu-daero, Seo-gu, Gwangju 61964 South Korea",$252,2.5,h_53,35.145,126.874
54,Hotel Good Choice Chungjangro,"3, Seoseok-ro 7beon-gil, Dong-gu, Gwangju 61484 South Korea",$294,2,h_54,35.15,126.919
55,Our Youth Hotel,"Munhwajeondang-ro 23beon-gil 12-1 Dong-gu, Gwangju 61487 South Korea",$201,2.5,h_55,35.149,126.923
56,Plus Motel,"9-11, Cheonbyeonu-ro 271beon-gil, Buk-gu, Gwangju 61241 South Korea",$213,1,h_56,35.18,126.92
57,Hotel Seattle,"93-2, Sangmupyeonghwa-ro, Seo-gu, Gwangju, Gwangju 61963 South Korea",$420,-1,h_57,35.143,126.876
58,Prince Motel,"555-36, Usan-dong, Buk-gu, Gwangju 500-850 South Korea",$233,-1,h_58,35.186,126.929
59,E Motel,"33-1, Bungmun-daero 19beon-gil, Buk-gu, Gwangju 61262 South Korea",$78,-1,h_59,35.177,126.92
60,Sky Motel,"9-7, Dongmun-daero, Buk-gu, Gwangju 61215 South Korea",$340,-1,h_60,35.1579,126.9193
61,Hotel The Lua,"3-10, Munhwajeondang-ro 35beon-gil, Dong-gu, Gwangju 61487 South Korea",$178,-1,h_61,35.1494,126.9238
62,Bobos Motel,"483-4, Cheonbyeonu-ro, Dong-gu, Gwangju 61489 South Korea",$178,-1,h_62,35.1485,126.9254
63,Top Castle Hotel,"16-14, Seoseok-ro 7beon-gil, Dong-gu, Gwangju 61484 South Korea",$470,-1,h_63,35.1502,126.9237
64,Design Motel I,"393-4, Cheonbyeonu-ro, Dong-gu, Gwangju 61484 South Korea",$103,-1,h_64,35.15,126.9239
65,Tiffany Motel,"401-5, Cheonbyeonu-ro, Dong-gu, Gwangju 61484 South Korea",$439,-1,h_65,35.1501,126.9241
